ImageId,Label
1,6
2,6
3,4
4,1
5,4
6,1
7,4
8,4
9,6
10,4
11,4
12,4
13,4
14,6
15,4
16,4
17,4
18,1
19,4
20,6
21,4
22,1
23,1
24,1
25,4
26,1
27,1
28,4
29,1
30,1
31,1
32,4
33,4
34,4
35,1
36,4
37,6
38,4
39,1
40,4
41,1
42,6
43,1
44,4
45,1
46,6
47,1
48,1
49,4
50,1
51,1
52,4
53,4
54,4
55,4
56,1
57,1
58,4
59,4
60,4
61,1
62,1
63,1
64,6
65,6
66,6
67,1
68,4
69,6
70,1
71,1
72,4
73,1
74,1
75,4
76,1
77,4
78,4
79,1
80,4
81,4
82,1
83,1
84,4
85,4
86,4
87,4
88,1
89,1
90,4
91,4
92,4
93,1
94,1
95,1
96,1
97,4
98,4
99,4
100,1
101,4
102,4
103,4
104,6
105,1
106,1
107,4
108,4
109,4
110,4
111,4
112,6
113,1
114,1
115,1
116,1
117,4
118,1
119,4
120,1
121,4
122,4
123,1
124,1
125,1
126,1
127,4
128,1
129,4
130,1
131,1
132,1
133,1
134,6
135,4
136,6
137,4
138,1
139,4
140,4
141,5
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,1
153,4
154,1
155,4
156,6
157,4
158,4
159,4
160,1
161,4
162,4
163,1
164,4
165,1
166,1
167,1
168,4
169,1
170,4
171,4
172,4
173,4
174,4
175,1
176,4
177,4
178,1
179,1
180,1
181,4
182,1
183,1
184,6
185,1
186,4
187,4
188,1
189,1
190,4
191,4
192,1
193,5
194,4
195,4
196,4
197,1
198,4
199,1
200,4
201,1
202,4
203,4
204,1
205,4
206,6
207,4
208,1
209,1
210,4
211,6
212,4
213,4
214,1
215,1
216,4
217,1
218,1
219,1
220,1
221,4
222,4
223,1
224,4
225,1
226,4
227,4
228,1
229,1
230,6
231,4
232,4
233,1
234,1
235,1
236,4
237,4
238,4
239,1
240,1
241,4
242,1
243,4
244,4
245,4
246,4
247,1
248,4
249,1
250,1
251,4
252,4
253,1
254,1
255,1
256,6
257,1
258,1
259,1
260,4
261,4
262,4
263,4
264,4
265,1
266,4
267,4
268,1
269,1
270,1
271,1
272,4
273,1
274,6
275,1
276,4
277,1
278,4
279,1
280,1
281,4
282,4
283,1
284,4
285,4
286,1
287,4
288,1
289,4
290,1
291,1
292,4
293,1
294,1
295,1
296,1
297,4
298,4
299,4
300,4
301,1
302,1
303,4
304,4
305,1
306,4
307,4
308,1
309,1
310,4
311,1
312,1
313,1
314,4
315,4
316,4
317,4
318,4
319,1
320,1
321,4
322,1
323,1
324,4
325,4
326,4
327,1
328,1
329,4
330,4
331,1
332,4
333,1
334,4
335,1
336,1
337,4
338,1
339,1
340,4
341,4
342,1
343,1
344,4
345,1
346,6
347,1
348,1
349,1
350,1
351,1
352,1
353,4
354,4
355,1
356,4
357,4
358,4
359,1
360,1
361,4
362,1
363,4
364,1
365,1
366,4
367,1
368,1
369,1
370,4
371,1
372,4
373,4
374,4
375,4
376,1
377,4
378,1
379,1
380,1
381,1
382,4
383,4
384,4
385,6
386,1
387,1
388,1
389,4
390,4
391,1
392,4
393,4
394,4
395,1
396,1
397,1
398,1
399,4
400,4
401,4
402,1
403,1
404,1
405,1
406,1
407,4
408,4
409,4
410,4
411,4
412,4
413,4
414,1
415,4
416,1
417,1
418,1
419,4
420,4
421,4
422,4
423,1
424,4
425,4
426,1
427,4
428,4
429,4
430,4
431,1
432,4
433,4
434,1
435,4
436,1
437,1
438,4
439,1
440,4
441,4
442,1
443,4
444,1
445,1
446,1
447,4
448,4
449,4
450,4
451,4
452,1
453,1
454,1
455,4
456,4
457,1
458,4
459,4
460,4
461,1
462,4
463,1
464,4
465,1
466,1
467,6
468,1
469,4
470,1
471,1
472,4
473,1
474,4
475,1
476,4
477,1
478,4
479,1
480,6
481,4
482,4
483,1
484,4
485,4
486,4
487,4
488,1
489,4
490,1
491,4
492,1
493,1
494,1
495,4
496,4
497,4
498,1
499,4
500,4
501,1
502,4
503,4
504,4
505,1
506,1
507,4
508,4
509,1
510,5
511,6
512,4
513,4
514,4
515,4
516,1
517,1
518,6
519,1
520,4
521,4
522,4
523,4
524,1
